165/1/53/P|serbaldrig/12345ieee|||C,CNB
165/1/54/P|serbaldrig|https://youtu.be/hx8INF-ZN1M|video|
333/1/70|ToughThought|https://youtu.be/PJP2h9ZFcAg||CNP,CNBP
368/1/68|ToughThought|||
506/1/66|ToughThought|||
758/1/46|Andy|||
797/1/36|12345ieee|https://youtu.be/XeyUOc04kg4||
970/1/29|12345ieee|||
1348/1/24|12345ieee|https://youtu.be/ppBZVi5D0sY||
1723/1/22|Andy|https://youtu.be/_0iir8LPNcM||S,SNB,SNP,SNBP
