2939/4/232|ToughThought|https://youtu.be/7BMZvk5pMbw||C,CNB,CNP,CNBP
4762/3/227|whoever314|||
4787/3/222|12345ieee|||
11271/3/204|whoever314|https://youtu.be/qGcikyOmTWI||
12422/4/85|gggol|https://youtu.be/PppJ-5nPFAg||S,SNB,SNP,SNBP
14262/2/278|whoever314|||RC,RCNB,RCNP,RCNBP
14340/2/276|12345ieee|||
14685/2/275|12345ieee|||
16166/2/293|whoever314/12345ieee|https://youtu.be/ySvRtiFNsxw|video|
30156/2/223|whoever314/12345ieee|||RS,RSNB,RSNP,RSNBP
30156/2/224|whoever314/12345ieee|https://youtu.be/dvvOuHlcUyA|video|
