475/5/161|ToughThought|https://youtu.be/5xHfcPuJKGo||C,CNB
821/2/55|whoever314/12345ieee|https://youtu.be/zaAVGUsTn2o||S,SNB
3649/1/86|whoever314/12345ieee|https://youtu.be/vGN0c2A-gmc||RC,RCNB
3967/1/78|whoever314|||
3969/1/73|britboy3456/12345ieee|||
4290/1/70|britboy3456/12345ieee|||
4568/1/69|britboy3456/12345ieee|https://youtu.be/vnhu2Lu89Z4||RS,RSNB
