227/1/112/P|Zig|||C,CNB
228/1/102/P|Zig|||
232/1/90/P|Zig|https://youtu.be/6fayCaPa8dU||
237/1/77/P|Zig|||
258/1/89/P|Zig|https://youtu.be/NKgZAGiDmOw|video|
260/1/79|Zig|https://youtu.be/EE3qaqiEjBY||CNP,CNBP
306/1/54|CaitSith2|https://youtu.be/ulUT_GV3RUQ||
436/1/37|12345ieee|||
445/1/36|12345ieee|||
450/1/35|12345ieee|||
510/1/33|12345ieee|||
688/1/30|12345ieee|||
766/1/29|12345ieee|||
944/1/25|12345ieee|||
1044/1/24|CaitSith2|https://youtu.be/uRuSiKDyeQs||
1267/1/23|ToughThought|https://youtu.be/k7qjnBKTVxM||S,SNB,SNP,SNBP
