978/1/55|Andy/12345ieee|||C,CNB
979/1/53|12345ieee|||
1115/1/47|Andy|||
1445/1/38|Jabor|https://youtu.be/f1q0JO0xpwA?t=5m17s||
2718/1/34|Blueeyedrat|||
4129/1/27|ToughThought|||
4225/1/22|Andy|||S,SNB
7397/1/22|Krackor|https://youtu.be/f1q0JO0xpwA?t=9m51s|video|
