2465/2/156|etotheipi|||C,CNB,RC,RCNB
2599/2/66|Retales|||
2670/2/44|rRootagea|||
2836/2/39|AVelhavenn|||
3053/2/32|ShadowTheAge|||S,SNB,RS,RSNB
